time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.65900656789e-08,-1.02191405798e-07,10.0065324394,6.28292784724,6.28316616784,0.0,1.68679944851e-06,-1.66419028733e-05,0.217731039506,-0.0146659268401,-0.000964783870544,0.0,472.4407527258106,472.36637978201355,473.7253240691927,472.59653341104064
0.12000000000000001,8.07102662571e-07,-9.9404401193e-06,10.0229041759,6.28201279428,6.28300869029,0.0,3.55767921398e-05,-0.000404177603567,0.32796756156,-0.0164471825132,-0.00617036075277,0.0,439.8626335558163,439.43145426856285,440.82743220469115,440.68034139176825
0.18,8.04655713148e-06,-7.06146250268e-05,10.051725726,6.28074024556,0.000257075424296,0.0,0.000190386283068,-0.00176457954556,0.632632065736,-0.0330211523189,0.0256098011361,0.0,496.84359653635204,499.167751050968,498.1501285778712,496.9369126974783
0.23999999999999996,6.79947821699e-06,-0.000242840140473,10.09561249,6.27872521679,0.00160180977696,0.0,-0.000400716388586,-0.0042085631382,0.830136387912,-0.0347333314193,0.0150967999928,0.0,467.3184445989482,466.49837314312776,467.66658357176823,467.5328298291594
0.3,-6.10434996275e-05,-0.00061421809352,10.1522695909,6.27645514871,0.00284059384335,0.0,-0.00199231365971,-0.00843211776733,1.05824884066,-0.0448957126866,0.0299149790346,0.0,476.297307486454,477.4290517123336,476.60715085972635,475.8293113167741
0.36000000000000004,-0.000251160392863,-0.00128087644399,10.2203518501,6.27384599299,0.00462899966325,0.0,-0.00454118673034,-0.014079740478,1.21100731221,-0.0408065096746,0.0295894875538,0.0,454.1297608743789,454.10391174710156,454.65782059097654,454.98427349406904
0.4200000000000001,-0.00062199876159,-0.00232012045112,10.295204619,6.27128329353,0.00607291495007,0.0,-0.00798067643768,-0.0208061959513,1.28400213254,-0.0468223730042,0.0097324623025,0.0,430.15750509515357,428.4729364503549,430.42111195375634,429.91065858298117
0.48000000000000015,-0.00124600282074,-0.00385960704178,10.3780162344,6.26839659333,0.00693506523817,0.0,-0.0129031839651,-0.0308363563509,1.47615190609,-0.0508227314053,0.0223216272719,0.0,467.1613671470221,468.14176157476226,466.23212666012597,465.9182050979872
0.5400000000000001,-0.00217355693287,-0.00603783342785,10.4702862041,6.26508643982,0.00798222283231,0.0,-0.0181424683569,-0.0421019437501,1.599342834,-0.0657035114782,0.00530110588791,0.0,447.16067664071295,445.7720488996554,446.8910707026664,445.6744589030929
0.6000000000000002,-0.00343192846637,-0.00896137839559,10.5696888932,6.26097641685,0.0084288735612,0.0,-0.0238420822729,-0.0557650546617,1.71390628431,-0.074777054129,0.0114185728224,0.0,443.60644753291183,444.1083499621012,444.6252604358767,443.8777470034884
0.6600000000000003,-0.00504636757429,-0.0128022217617,10.6763416629,6.25643871758,0.00923278669351,0.0,-0.0300501051486,-0.0727367575327,1.84097713607,-0.0773865910453,0.0170903401482,0.0,448.56215054141086,449.0223563238537,447.98547811300006,447.76879739948555
0.7200000000000003,-0.00704868585098,-0.0177500314528,10.7902737318,6.2516665249,0.010376982548,0.0,-0.0368055089472,-0.0926755502739,1.95655154185,-0.0842231205388,0.0227608659441,0.0,445.1363221305882,445.6000388475416,445.3304913525741,444.7658748280063
0.7800000000000004,-0.00947946606453,-0.0239882294775,10.9108878244,6.2468350054,0.0120779196393,0.0,-0.044378501637,-0.115766718655,2.06371041907,-0.0740042294317,0.0376709854587,0.0,442.27236677271014,443.49885122938565,442.7405321743509,443.57515919505465
0.8400000000000004,-0.0124227534552,-0.0317647355186,11.0393990982,6.24287130121,0.015082464023,0.0,-0.0540260539915,-0.143898888637,2.21968521638,-0.0536395904739,0.0674759125532,0.0,457.02934889046304,459.39999720690076,458.0800514516254,459.6932675767386
0.9000000000000005,-0.0159345597963,-0.041096941586,11.1719792785,6.23922489766,0.0189343524042,0.0,-0.0633686064722,-0.167459989449,2.19967295651,-0.0815009873209,0.0566736668952,0.0,403.94413291737476,402.97230845598256,402.33881313730325,399.8050013700749
0.9600000000000005,-0.020146925549,-0.0520849807869,11.3072487664,6.23454443728,0.0222793205578,0.0,-0.07738841195,-0.199292168683,2.30906153759,-0.0718079212624,0.0538346729494,0.0,446.22100023245684,445.9912814981547,443.1466258927746,443.93774878761246
1.0200000000000005,-0.0252018128227,-0.0649307716844,11.4460793175,6.22989096368,0.0259442941424,0.0,-0.0914158076625,-0.229293826303,2.31857243412,-0.0926794648271,0.0726298876826,0.0,412.5855141079282,414.24443788086626,413.3037233897051,411.45459100306465
1.0800000000000005,-0.0312868455656,-0.07990676143,11.5899312584,6.22420430336,0.0301700745399,0.0,-0.111885071076,-0.270508638715,2.47610945464,-0.0993404949707,0.065622538239,0.0,460.40411999856417,459.852985554568,460.7959175693461,460.2617527221378
1.1400000000000006,-0.0386303616485,-0.0973627285792,11.741198813,6.21792339707,0.0340200956884,0.0,-0.133284630935,-0.311956690402,2.56588596233,-0.118371781364,0.0610859240461,0.0,441.0311985641152,440.6593939462143,440.224166570431,438.63665044551374
1.2000000000000006,-0.0472971951746,-0.117364504761,11.8967453506,6.21094031585,0.0374594998762,0.0,-0.155945047005,-0.355429816105,2.61880994297,-0.112683713332,0.0484769871527,0.0,429.6059210703024,428.5378336232542,428.41465702657536,428.8853269293794
